Frecuencia (Hz)	Nivel (dB)
16149,902344	-32,366867
16192,968750	-32,378429
16236,035156	-32,389961
16279,101562	-32,401466
16322,167969	-32,412941
16365,234375	-32,424381
16408,300781	-32,435795
16451,367188	-32,447186
16494,433594	-32,458538
16537,500000	-32,469860
16580,566406	-32,481155
16623,632812	-32,492424
16666,699219	-32,503662
16709,765625	-32,514866
16752,832031	-32,526047
16795,898438	-32,537201
16838,964844	-32,548317
16882,031250	-32,559406
16925,097656	-32,570477
16968,164062	-32,581512
17011,230469	-32,592518
17054,296875	-32,603504
17097,363281	-32,614456
17140,429688	-32,625378
17183,496094	-32,636280
17226,562500	-32,647156
17269,628906	-32,657993
17312,695312	-32,668816
17355,761719	-32,679600
17398,828125	-32,690365
17441,894531	-32,701103
17484,960938	-32,711811
17528,027344	-32,722500
17571,093750	-32,733154
17614,160156	-32,743790
17657,226562	-32,754391
17700,292969	-32,764965
17743,359375	-32,775520
17786,425781	-32,786049
17829,492188	-32,796555
17872,558594	-32,807030
17915,625000	-32,817486
17958,691406	-32,827911
18001,757812	-32,838310
18044,824219	-32,848686
18087,890625	-32,859039
18130,957031	-32,869373
18174,023438	-32,879681
18217,089844	-32,889957
18260,156250	-32,900208
18303,222656	-32,910442
18346,289062	-32,920647
18389,355469	-32,930828
18432,421875	-32,940990
18475,488281	-32,951122
18518,554688	-32,961235
18561,621094	-32,971321
18604,687500	-32,981388
18647,753906	-32,991428
18690,820312	-33,001450
18733,886719	-33,011444
18776,953125	-33,021412
18820,019531	-33,031361
18863,085938	-33,041290
18906,152344	-33,051197
18949,218750	-33,061077
18992,285156	-33,070934
19035,351562	-33,080780
19078,417969	-33,090599
19121,484375	-33,100388
19164,550781	-33,110153
19207,617188	-33,119896
19250,683594	-33,129631
19293,750000	-33,139332
19336,816406	-33,149021
19379,882812	-33,158680
19422,949219	-33,168316
19466,015625	-33,177933
19509,082031	-33,187531
19552,148438	-33,197113
19595,214844	-33,206669
19638,281250	-33,216206
19681,347656	-33,225719
19724,414062	-33,235210
19767,480469	-33,244694
19810,546875	-33,254200
19853,613281	-33,264267
19896,679688	-33,290276
19939,746094	-33,872475
19982,812500	-39,069679
20025,878906	-53,560314
